movieId,imdbid,budget,id_global,original_title,popularity,runtime,vote_average,vote_count,gender_id,gender_name,tmdbId,avg_rating
12,0112896,0,12110,Dracula: Dead and Loving It,5.430331,88.0,5.7,210,35,Comedy,12110,2.861111111111111
12,0112896,0,12110,Dracula: Dead and Loving It,5.430331,88.0,5.7,210,27,Horror,12110,2.861111111111111
13,0112453,0,21032,Balto,12.140733,78.0,7.1,423,10751,Family,21032,3.9375
13,0112453,0,21032,Balto,12.140733,78.0,7.1,423,16,Animation,21032,3.9375
13,0112453,0,21032,Balto,12.140733,78.0,7.1,423,12,Adventure,21032,3.9375
14,0113987,44000000,10858,Nixon,5.092,192.0,7.1,72,36,History,10858,3.4516129032258065
14,0113987,44000000,10858,Nixon,5.092,192.0,7.1,72,18,Drama,10858,3.4516129032258065
15,0112760,98000000,1408,Cutthroat Island,7.284477,119.0,5.7,137,28,Action,1408,2.3181818181818183
15,0112760,98000000,1408,Cutthroat Island,7.284477,119.0,5.7,137,12,Adventure,1408,2.3181818181818183
16,0112641,52000000,524,Casino,10.137389,178.0,7.8,1343,18,Drama,524,3.9488636363636362
16,0112641,52000000,524,Casino,10.137389,178.0,7.8,1343,80,Crime,524,3.9488636363636362
17,0114388,16500000,4584,Sense and Sensibility,10.673167,136.0,7.2,364,18,Drama,4584,3.9244186046511627
17,0114388,16500000,4584,Sense and Sensibility,10.673167,136.0,7.2,364,10749,Romance,4584,3.9244186046511627
18,0113101,4000000,5,Four Rooms,9.026586,98.0,6.5,539,80,Crime,5,3.2884615384615383
18,0113101,4000000,5,Four Rooms,9.026586,98.0,6.5,539,35,Comedy,5,3.2884615384615383
19,0112281,30000000,9273,Ace Ventura: When Nature Calls,8.205448,90.0,6.1,1128,80,Crime,9273,2.597826086956522
19,0112281,30000000,9273,Ace Ventura: When Nature Calls,8.205448,90.0,6.1,1128,35,Comedy,9273,2.597826086956522
19,0112281,30000000,9273,Ace Ventura: When Nature Calls,8.205448,90.0,6.1,1128,12,Adventure,9273,2.597826086956522
20,0113845,60000000,11517,Money Train,7.337906,103.0,5.4,224,28,Action,11517,2.5384615384615383
20,0113845,60000000,11517,Money Train,7.337906,103.0,5.4,224,35,Comedy,11517,2.5384615384615383
20,0113845,60000000,11517,Money Train,7.337906,103.0,5.4,224,80,Crime,11517,2.5384615384615383
21,0113161,30250000,8012,Get Shorty,null,null,null,null,35,Comedy,8012,3.536842105263158
21,0113161,30250000,8012,Get Shorty,null,null,null,null,53,Thriller,8012,3.536842105263158
21,0113161,30250000,8012,Get Shorty,null,null,null,null,80,Crime,8012,3.536842105263158
22,0112722,0,1710,Copycat,10.701801,124.0,6.5,199,18,Drama,1710,3.3552631578947367
22,0112722,0,1710,Copycat,10.701801,124.0,6.5,199,53,Thriller,1710,3.3552631578947367
23,0112401,50000000,9691,Assassins,11.065939,132.0,6.0,394,28,Action,9691,3.090909090909091
23,0112401,50000000,9691,Assassins,11.065939,132.0,6.0,394,12,Adventure,9691,3.090909090909091
23,0112401,50000000,9691,Assassins,11.065939,132.0,6.0,394,80,Crime,9691,3.090909090909091
23,0112401,50000000,9691,Assassins,11.065939,132.0,6.0,394,53,Thriller,9691,3.090909090909091
24,0114168,0,12665,Powder,12.133094,111.0,6.3,143,18,Drama,12665,3.0441176470588234
24,0114168,0,12665,Powder,12.133094,111.0,6.3,143,14,Fantasy,12665,3.0441176470588234
24,0114168,0,12665,Powder,12.133094,111.0,6.3,143,878,Science Fiction,12665,3.0441176470588234
24,0114168,0,12665,Powder,12.133094,111.0,6.3,143,53,Thriller,12665,3.0441176470588234
25,0113627,3600000,451,Leaving Las Vegas,10.332025,112.0,7.1,365,18,Drama,451,3.742574257425743
25,0113627,3600000,451,Leaving Las Vegas,10.332025,112.0,7.1,365,10749,Romance,451,3.742574257425743
26,0114057,0,16420,Othello,1.845899,123.0,7.0,33,18,Drama,16420,4.1
27,0114011,12000000,9263,Now and Then,8.681325,100.0,6.6,91,35,Comedy,9263,3.142857142857143
27,0114011,12000000,9263,Now and Then,8.681325,100.0,6.6,91,18,Drama,9263,3.142857142857143
27,0114011,12000000,9263,Now and Then,8.681325,100.0,6.6,91,10751,Family,9263,3.142857142857143
28,0114117,0,17015,Persuasion,2.228434,104.0,7.4,36,18,Drama,17015,4.083333333333333
28,0114117,0,17015,Persuasion,2.228434,104.0,7.4,36,10749,Romance,17015,4.083333333333333
29,0112682,18000000,902,La Cité des Enfants Perdus,9.822423,null,null,null,14,Fantasy,902,4.025
29,0112682,18000000,902,La Cité des Enfants Perdus,9.822423,null,null,null,878,Science Fiction,902,4.025
29,0112682,18000000,902,La Cité des Enfants Perdus,9.822423,null,null,null,12,Adventure,902,4.025
30,0115012,0,37557,摇啊摇，摇到外婆桥,1.100915,108.0,6.5,17,18,Drama,37557,4.05
30,0115012,0,37557,摇啊摇，摇到外婆桥,1.100915,108.0,6.5,17,80,Crime,37557,4.05
31,0112792,0,9909,Dangerous Minds,9.481338,99.0,6.4,249,18,Drama,9909,3.1785714285714284
31,0112792,0,9909,Dangerous Minds,9.481338,99.0,6.4,249,80,Crime,9909,3.1785714285714284
32,0114746,29500000,63,Twelve Monkeys,12.297305,129.0,7.4,2470,878,Science Fiction,63,3.923469387755102
32,0114746,29500000,63,Twelve Monkeys,12.297305,129.0,7.4,2470,53,Thriller,63,3.923469387755102
32,0114746,29500000,63,Twelve Monkeys,12.297305,129.0,7.4,2470,9648,Mystery,63,3.923469387755102
34,0112431,30000000,9598,Babe,14.404764,89.0,6.0,756,14,Fantasy,9598,3.6013513513513513
34,0112431,30000000,9598,Babe,14.404764,89.0,6.0,756,18,Drama,9598,3.6013513513513513
34,0112431,30000000,9598,Babe,14.404764,89.0,6.0,756,35,Comedy,9598,3.6013513513513513
34,0112431,30000000,9598,Babe,14.404764,89.0,6.0,756,10751,Family,9598,3.6013513513513513
35,0112637,0,47018,Carrington,1.493361,121.0,6.4,16,36,History,47018,3.5454545454545454
35,0112637,0,47018,Carrington,1.493361,121.0,6.4,16,18,Drama,47018,3.5454545454545454
35,0112637,0,47018,Carrington,1.493361,121.0,6.4,16,10749,Romance,47018,3.5454545454545454
36,0112818,11000000,687,Dead Man Walking,6.891317,122.0,7.3,350,18,Drama,687,3.9375
37,0112286,0,139405,Across the Sea of Time,0.114469,51.0,3.5,2,12,Adventure,139405,2.0
37,0112286,0,139405,Across the Sea of Time,0.114469,51.0,3.5,2,36,History,139405,2.0
37,0112286,0,139405,Across the Sea of Time,0.114469,51.0,3.5,2,18,Drama,139405,2.0
37,0112286,0,139405,Across the Sea of Time,0.114469,51.0,3.5,2,10751,Family,139405,2.0
38,0113442,0,33689,It Takes Two,7.777735,101.0,6.1,149,35,Comedy,33689,2.0
38,0113442,0,33689,It Takes Two,7.777735,101.0,6.1,149,10751,Family,33689,2.0
38,0113442,0,33689,It Takes Two,7.777735,101.0,6.1,149,10749,Romance,33689,2.0
39,0112697,12000000,9603,Clueless,9.882383,97.0,6.9,828,35,Comedy,9603,3.55
39,0112697,12000000,9603,Clueless,9.882383,97.0,6.9,828,18,Drama,9603,3.55
39,0112697,12000000,9603,Clueless,9.882383,97.0,6.9,828,10749,Romance,9603,3.55
40,0112749,0,34615,"Cry, the Beloved Country",0.894647,106.0,6.7,13,18,Drama,34615,3.9166666666666665
41,0114279,0,31174,Richard III,4.561387,104.0,6.9,50,18,Drama,31174,4.021739130434782
41,0114279,0,31174,Richard III,4.561387,104.0,6.9,50,10752,War,31174,4.021739130434782
42,0112819,10000000,11443,Dead Presidents,null,null,null,null,28,Action,11443,2.3333333333333335
42,0112819,10000000,11443,Dead Presidents,null,null,null,null,80,Crime,11443,2.3333333333333335
42,0112819,10000000,11443,Dead Presidents,null,null,null,null,18,Drama,11443,2.3333333333333335
42,0112819,10000000,11443,Dead Presidents,null,null,null,null,36,History,11443,2.3333333333333335
43,0114272,19000000,35196,Restoration,10.979269,117.0,6.3,30,18,Drama,35196,3.625
43,0114272,19000000,35196,Restoration,10.979269,117.0,6.3,30,10749,Romance,35196,3.625
44,0113855,18000000,9312,Mortal Kombat,10.870138,101.0,5.4,452,28,Action,9312,2.6973684210526314
44,0113855,18000000,9312,Mortal Kombat,10.870138,101.0,5.4,452,14,Fantasy,9312,2.6973684210526314
45,0114681,20000000,577,To Die For,10.448481,106.0,6.7,177,14,Fantasy,577,3.5232558139534884
45,0114681,20000000,577,To Die For,10.448481,106.0,6.7,177,18,Drama,577,3.5232558139534884
45,0114681,20000000,577,To Die For,10.448481,106.0,6.7,177,35,Comedy,577,3.5232558139534884
45,0114681,20000000,577,To Die For,10.448481,106.0,6.7,177,53,Thriller,577,3.5232558139534884
46,0113347,10000000,11861,How To Make An American Quilt,4.485958,116.0,6.5,38,18,Drama,11861,3.1666666666666665
46,0113347,10000000,11861,How To Make An American Quilt,4.485958,116.0,6.5,38,10749,Romance,11861,3.1666666666666665
47,0114369,33000000,807,Se7en,null,null,null,null,80,Crime,807,4.034825870646766
47,0114369,33000000,807,Se7en,null,null,null,null,9648,Mystery,807,4.034825870646766
47,0114369,33000000,807,Se7en,null,null,null,null,53,Thriller,807,4.034825870646766
48,0114148,55000000,10530,Pocahontas,13.280069,81.0,6.7,1509,12,Adventure,10530,2.9262295081967213
48,0114148,55000000,10530,Pocahontas,13.280069,81.0,6.7,1509,16,Animation,10530,2.9262295081967213
48,0114148,55000000,10530,Pocahontas,13.280069,81.0,6.7,1509,18,Drama,10530,2.9262295081967213
48,0114148,55000000,10530,Pocahontas,13.280069,81.0,6.7,1509,10751,Family,10530,2.9262295081967213
49,0114916,0,8391,When Night Is Falling,3.302524,96.0,5.9,10,18,Drama,8391,4.0
49,0114916,0,8391,When Night Is Falling,3.302524,96.0,5.9,10,10749,Romance,8391,4.0
50,0114814,6000000,629,The Usual Suspects,16.302466,106.0,8.1,3334,18,Drama,629,4.370646766169155
50,0114814,6000000,629,The Usual Suspects,16.302466,106.0,8.1,3334,80,Crime,629,4.370646766169155
50,0114814,6000000,629,The Usual Suspects,16.302466,106.0,8.1,3334,53,Thriller,629,4.370646766169155
52,0113819,15000000,11448,Mighty Aphrodite,15.899134,95.0,6.7,145,35,Comedy,11448,3.6372549019607843
52,0113819,15000000,11448,Mighty Aphrodite,15.899134,95.0,6.7,145,10749,Romance,11448,3.6372549019607843
53,0110299,0,49133,Lamerica,1.361286,116.0,7.7,11,18,Drama,49133,5.0
53,0110299,0,49133,Lamerica,1.361286,116.0,7.7,11,10769,Foreign,49133,5.0
54,0112499,0,26441,The Big Green,5.982764,100.0,5.2,41,28,Action,26441,3.6666666666666665
54,0112499,0,26441,The Big Green,5.982764,100.0,5.2,41,12,Adventure,26441,3.6666666666666665
54,0112499,0,26441,The Big Green,5.982764,100.0,5.2,41,35,Comedy,26441,3.6666666666666665
54,0112499,0,26441,The Big Green,5.982764,100.0,5.2,41,10751,Family,26441,3.6666666666666665
55,0113158,0,97406,Georgia,4.093443,115.0,6.1,15,18,Drama,97406,3.3333333333333335
57,0113321,0,9089,Home for the Holidays,8.416802,103.0,6.3,39,35,Comedy,9089,3.142857142857143
57,0113321,0,9089,Home for the Holidays,8.416802,103.0,6.3,39,18,Drama,9089,3.142857142857143
57,0113321,0,9089,Home for the Holidays,8.416802,103.0,6.3,39,10749,Romance,9089,3.142857142857143
58,0110877,0,11010,Il postino,10.168437,108.0,7.6,181,35,Comedy,11010,4.0
58,0110877,0,11010,Il postino,10.168437,108.0,7.6,181,18,Drama,11010,4.0
58,0110877,0,11010,Il postino,10.168437,108.0,7.6,181,10749,Romance,11010,4.0
59,0112714,0,99040,Le confessionnal,0.120789,100.0,6.5,2,53,Thriller,99040,4.0
59,0112714,0,99040,Le confessionnal,0.120789,100.0,6.5,2,18,Drama,99040,4.0
59,0112714,0,99040,Le confessionnal,0.120789,100.0,6.5,2,9648,Mystery,99040,4.0
60,0113419,45000000,11359,The Indian in the Cupboard,10.673296,96.0,5.9,136,12,Adventure,11359,2.828125
60,0113419,45000000,11359,The Indian in the Cupboard,10.673296,96.0,5.9,136,10751,Family,11359,2.828125
60,0113419,45000000,11359,The Indian in the Cupboard,10.673296,96.0,5.9,136,14,Fantasy,11359,2.828125
61,0116260,20000000,17182,Eye for an Eye,4.733526,101.0,5.8,65,18,Drama,17182,3.5714285714285716
61,0116260,20000000,17182,Eye for an Eye,4.733526,101.0,5.8,65,53,Thriller,17182,3.5714285714285716
62,0113862,0,2054,Mr. Holland's Opus,7.137117,137.0,6.9,115,10402,Music,2054,3.689655172413793
62,0113862,0,2054,Mr. Holland's Opus,7.137117,137.0,6.9,115,18,Drama,2054,3.689655172413793
62,0113862,0,2054,Mr. Holland's Opus,7.137117,137.0,6.9,115,10751,Family,2054,3.689655172413793
63,0116126,0,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,11.700115,89.0,6.2,192,35,Comedy,10607,2.8333333333333335
64,0118002,0,19760,Two If by Sea,2.174487,96.0,4.5,14,35,Comedy,19760,2.4
64,0118002,0,19760,Two If by Sea,2.174487,96.0,4.5,14,10749,Romance,19760,2.4
65,0115683,15000000,9536,Bio-Dome,null,0.0,null,4,35,Comedy,9536,2.025
66,0116839,0,11525,Lawnmower Man 2: Beyond Cyberspace,2.49535,92.0,2.8,32,28,Action,11525,2.0
66,0116839,0,11525,Lawnmower Man 2: Beyond Cyberspace,2.49535,92.0,2.8,32,878,Science Fiction,11525,2.0
68,0113149,0,4482,Gazon maudit,2.518051,95.0,6.0,43,35,Comedy,4482,3.5
68,0113149,0,4482,Gazon maudit,2.518051,95.0,6.0,43,10749,Romance,4482,3.5
69,0113118,3500000,10634,Friday,14.56965,91.0,7.0,513,35,Comedy,10634,3.8181818181818183
70,0116367,19000000,755,From Dusk Till Dawn,15.339153,108.0,6.9,1644,27,Horror,755,3.0208333333333335
70,0116367,19000000,755,From Dusk Till Dawn,15.339153,108.0,6.9,1644,28,Action,755,3.0208333333333335
70,0116367,19000000,755,From Dusk Till Dawn,15.339153,108.0,6.9,1644,53,Thriller,755,3.0208333333333335
70,0116367,19000000,755,From Dusk Till Dawn,15.339153,108.0,6.9,1644,80,Crime,755,3.0208333333333335
71,0113010,50000000,11859,Fair Game,5.912223,91.0,4.1,54,28,Action,11859,2.4285714285714284
71,0113010,50000000,11859,Fair Game,5.912223,91.0,4.1,54,53,Thriller,11859,2.4285714285714284
71,0113010,50000000,11859,Fair Game,5.912223,91.0,4.1,54,10749,Romance,11859,2.4285714285714284
72,0113537,0,28387,Kicking and Screaming,3.367276,96.0,7.0,36,35,Comedy,28387,3.1666666666666665
72,0113537,0,28387,Kicking and Screaming,3.367276,96.0,7.0,36,18,Drama,28387,3.1666666666666665
72,0113537,0,28387,Kicking and Screaming,3.367276,96.0,7.0,36,10749,Romance,28387,3.1666666666666665
73,0113828,0,48750,Les misérables,1.479446,175.0,6.6,8,18,Drama,48750,4.115384615384615
73,0113828,0,48750,Les misérables,1.479446,175.0,6.6,8,36,History,48750,4.115384615384615
74,0115644,0,20927,Bed of Roses,10.412194,87.0,5.1,27,18,Drama,20927,3.026315789473684
74,0115644,0,20927,Bed of Roses,10.412194,87.0,5.1,27,10749,Romance,20927,3.026315789473684
76,0114367,20000000,9102,Screamers,12.758848,108.0,6.1,154,27,Horror,9102,3.3333333333333335
76,0114367,20000000,9102,Screamers,12.758848,108.0,6.1,154,878,Science Fiction,9102,3.3333333333333335
77,0113973,0,124626,Nico Icon,0.133893,70.0,7.3,3,99,Documentary,124626,4.0
78,0112744,0,27526,The Crossing Guard,5.756462,111.0,6.1,74,18,Drama,27526,3.2
78,0112744,0,27526,The Crossing Guard,5.756462,111.0,6.1,74,53,Thriller,27526,3.2
79,0116731,44000000,9623,The Juror,null,null,null,null,18,Drama,9623,2.9615384615384617
79,0116731,44000000,9623,The Juror,null,null,null,null,53,Thriller,9623,2.9615384615384617
80,0112445,0,46785,بادکنک سفید,1.196256,85.0,7.5,20,10751,Family,46785,4.625
80,0112445,0,46785,بادکنک سفید,1.196256,85.0,7.5,20,18,Drama,46785,4.625
81,0114660,8000000,400,Things to Do in Denver When You're Dead,4.486179,116.0,6.7,87,18,Drama,400,3.25
81,0114660,8000000,400,Things to Do in Denver When You're Dead,4.486179,116.0,6.7,87,80,Crime,400,3.25
82,0112379,900000,880,Antonia,2.030174,102.0,7.2,26,18,Drama,880,3.8
82,0112379,900000,880,Antonia,2.030174,102.0,7.2,26,35,Comedy,880,3.8
83,0114039,0,146599,Once Upon a Time... When We Were Colored,0.252287,115.0,4.5,2,10749,Romance,146599,3.0
83,0114039,0,146599,Once Upon a Time... When We Were Colored,0.252287,115.0,4.5,2,18,Drama,146599,3.0
85,0112365,0,8447,Angels and Insects,2.15166,118.0,6.3,17,18,Drama,8447,4.0625
85,0112365,0,8447,Angels and Insects,2.15166,118.0,6.3,17,10749,Romance,8447,4.0625
86,0118158,38000000,10534,White Squall,9.568604,129.0,6.3,86,28,Action,10534,3.764705882352941
86,0118158,38000000,10534,White Squall,9.568604,129.0,6.3,86,18,Drama,10534,3.764705882352941
87,0116151,16000000,17414,Dunston Checks In,4.814825,88.0,5.1,59,12,Adventure,17414,1.6666666666666667
87,0116151,16000000,17414,Dunston Checks In,4.814825,88.0,5.1,59,35,Comedy,17414,1.6666666666666667
87,0116151,16000000,17414,Dunston Checks In,4.814825,88.0,5.1,59,10751,Family,17414,1.6666666666666667
88,0115697,0,13997,Black Sheep,8.963037,87.0,6.0,124,35,Comedy,13997,2.891304347826087
89,0113972,8169363,2086,Nick of Time,6.848591,90.0,6.1,190,80,Crime,2086,3.4411764705882355
89,0113972,8169363,2086,Nick of Time,6.848591,90.0,6.1,190,18,Drama,2086,3.4411764705882355
89,0113972,8169363,2086,Nick of Time,6.848591,90.0,6.1,190,53,Thriller,2086,3.4411764705882355
92,0117002,47000000,9095,Mary Reilly,12.866139,104.0,5.7,77,18,Drama,9095,3.5416666666666665
92,0117002,47000000,9095,Mary Reilly,12.866139,104.0,5.7,77,27,Horror,9095,3.5416666666666665
92,0117002,47000000,9095,Mary Reilly,12.866139,104.0,5.7,77,53,Thriller,9095,3.5416666666666665
92,0117002,47000000,9095,Mary Reilly,12.866139,104.0,5.7,77,10749,Romance,9095,3.5416666666666665
93,0114825,14000000,12158,Vampire in Brooklyn,9.071127,100.0,4.5,113,35,Comedy,12158,2.227272727272727
93,0114825,14000000,12158,Vampire in Brooklyn,9.071127,100.0,4.5,113,27,Horror,12158,2.227272727272727
93,0114825,14000000,12158,Vampire in Brooklyn,9.071127,100.0,4.5,113,10749,Romance,12158,2.227272727272727
94,0115639,0,9283,Beautiful Girls,null,null,null,null,35,Comedy,9283,3.5681818181818183
94,0115639,0,9283,Beautiful Girls,null,null,null,null,18,Drama,9283,3.5681818181818183
94,0115639,0,9283,Beautiful Girls,null,null,null,null,10749,Romance,9283,3.5681818181818183
95,0115759,50000000,9208,Broken Arrow,14.957626,108.0,5.7,459,28,Action,9208,3.1774193548387095
95,0115759,50000000,9208,Broken Arrow,14.957626,108.0,5.7,459,12,Adventure,9208,3.1774193548387095
95,0115759,50000000,9208,Broken Arrow,14.957626,108.0,5.7,459,18,Drama,9208,3.1774193548387095
95,0115759,50000000,9208,Broken Arrow,14.957626,108.0,5.7,459,53,Thriller,9208,3.1774193548387095
96,0113403,0,40154,A Midwinter's Tale,0.513391,99.0,7.5,6,35,Comedy,40154,1.0
97,0113247,3000000,406,La Haine,12.108196,98.0,7.9,695,18,Drama,406,3.875
98,0111173,0,45549,Shopping,2.657647,105.0,5.6,13,28,Action,45549,3.0
98,0111173,0,45549,Shopping,2.657647,105.0,5.6,13,12,Adventure,45549,3.0
98,0111173,0,45549,Shopping,2.657647,105.0,5.6,13,18,Drama,45549,3.0
98,0111173,0,45549,Shopping,2.657647,105.0,5.6,13,878,Science Fiction,45549,3.0
98,0111173,0,45549,Shopping,2.657647,105.0,5.6,13,53,Thriller,45549,3.0
99,0113283,0,63076,Heidi Fleiss: Hollywood Madam,null,0.0,null,6,99,Documentary,63076,2.75
100,0115907,0,11062,City Hall,4.807223,111.0,6.0,67,18,Drama,11062,3.4285714285714284
100,0115907,0,11062,City Hall,4.807223,111.0,6.0,67,53,Thriller,11062,3.4285714285714284
101,0115734,7000000,13685,Bottle Rocket,6.904831,91.0,6.8,285,35,Comedy,13685,3.8823529411764706
101,0115734,7000000,13685,Bottle Rocket,6.904831,91.0,6.8,285,80,Crime,13685,3.8823529411764706
101,0115734,7000000,13685,Bottle Rocket,6.904831,91.0,6.8,285,18,Drama,13685,3.8823529411764706
102,0117102,0,47475,Mr. Wrong,3.329264,96.0,3.3,16,35,Comedy,47475,2.590909090909091
102,0117102,0,47475,Mr. Wrong,3.329264,96.0,3.3,16,10749,Romance,47475,2.590909090909091
103,0118040,18000000,2045,Unforgettable,2.464425,106.0,5.3,22,18,Drama,2045,4.0
103,0118040,18000000,2045,Unforgettable,2.464425,106.0,5.3,22,9648,Mystery,2045,4.0
103,0118040,18000000,2045,Unforgettable,2.464425,106.0,5.3,22,878,Science Fiction,2045,4.0
103,0118040,18000000,2045,Unforgettable,2.464425,106.0,5.3,22,53,Thriller,2045,4.0
104,0116483,12000000,9614,Happy Gilmore,9.592265,92.0,6.5,767,35,Comedy,9614,3.2925531914893615
105,0112579,24000000,688,The Bridges of Madison County,5.951077,135.0,7.3,397,18,Drama,688,3.1145833333333335
105,0112579,24000000,688,The Bridges of Madison County,5.951077,135.0,7.3,397,10749,Romance,688,3.1145833333333335
107,0117110,0,10874,Muppet Treasure Island,6.902423,100.0,6.5,93,28,Action,10874,3.462962962962963
107,0117110,0,10874,Muppet Treasure Island,6.902423,100.0,6.5,93,35,Comedy,10874,3.462962962962963
107,0117110,0,10874,Muppet Treasure Island,6.902423,100.0,6.5,93,10402,Music,10874,3.462962962962963
107,0117110,0,10874,Muppet Treasure Island,6.902423,100.0,6.5,93,10751,Family,10874,3.462962962962963
107,0117110,0,10874,Muppet Treasure Island,6.902423,100.0,6.5,93,12,Adventure,10874,3.462962962962963
108,0112646,0,89333,Catwalk,0.976707,95.0,7.0,2,99,Documentary,89333,4.0
110,0112573,72000000,197,Braveheart,20.755149,177.0,7.7,3404,28,Action,197,3.9451754385964914
110,0112573,72000000,197,Braveheart,20.755149,177.0,7.7,3404,18,Drama,197,3.9451754385964914
110,0112573,72000000,197,Braveheart,20.755149,177.0,7.7,3404,36,History,197,3.9451754385964914
110,0112573,72000000,197,Braveheart,20.755149,177.0,7.7,3404,10752,War,197,3.9451754385964914
111,0075314,1300000,103,Taxi Driver,14.092713,114.0,8.1,2632,80,Crime,103,4.22457627118644
111,0075314,1300000,103,Taxi Driver,14.092713,114.0,8.1,2632,18,Drama,103,4.22457627118644
112,0113326,7500000,33542,紅番區,12.314278,91.0,6.5,245,80,Crime,33542,3.295918367346939
112,0113326,7500000,33542,紅番區,12.314278,91.0,6.5,245,28,Action,33542,3.295918367346939
112,0113326,7500000,33542,紅番區,12.314278,91.0,6.5,245,35,Comedy,33542,3.295918367346939
112,0113326,7500000,33542,紅番區,12.314278,91.0,6.5,245,53,Thriller,33542,3.295918367346939
113,0115645,35000000,43566,Before and After,2.938293,108.0,5.8,37,18,Drama,43566,3.2
113,0115645,35000000,43566,Before and After,2.938293,108.0,5.8,37,53,Thriller,43566,3.2
114,0113774,0,71754,Margaret's Museum,0.372697,114.0,7.5,2,18,Drama,71754,3.0
116,0112373,0,51352,Anne Frank Remembered,0.243986,117.0,7.3,4,99,Documentary,51352,4.75
116,0112373,0,51352,Anne Frank Remembered,0.243986,117.0,7.3,4,18,Drama,51352,4.75
116,0112373,0,51352,Anne Frank Remembered,0.243986,117.0,7.3,4,10769,Foreign,51352,4.75
117,0115033,0,16934,The Young Poisoner's Handbook,6.178497,99.0,6.9,19,35,Comedy,16934,3.0
117,0115033,0,16934,The Young Poisoner's Handbook,6.178497,99.0,6.9,19,80,Crime,16934,3.0
117,0115033,0,16934,The Young Poisoner's Handbook,6.178497,99.0,6.9,19,18,Drama,16934,3.0
118,0116606,0,10324,If Lucy Fell,2.891918,92.0,5.4,11,35,Comedy,10324,2.8
118,0116606,0,10324,If Lucy Fell,2.891918,92.0,5.4,11,10749,Romance,10324,2.8
119,0114536,25000000,78406,Steal Big Steal Little,1.522412,113.0,5.1,7,35,Comedy,78406,3.0
119,0114536,25000000,78406,Steal Big Steal Little,1.522412,113.0,5.1,7,18,Drama,78406,3.0
121,0106473,0,32119,The Boys of St. Vincent,0.86539,90.0,7.0,7,18,Drama,32119,3.8
